GPA,Leadership Capability,Technical Aptitude,Years of Experience,Soft Skills,Job Performance,Military Tenure,Avg Commute Time,Job Tenure,Employee Referrals,HireVue Score,Arrest Record,Criminal Record,Cultural Fit,Education,Educational Prestige
2.851045805,-0.502454814,2.885281794,1.080595511,2.221565646,-2,2.663877736,18.04008811,4.393412302,0,0,0,0,0,0,0
3.400479171,-0.450244543,3.815060008,3.654138216,3.628619495,0,1.761089371,45.40332201,1.764623355,0,0,0,0,0,0,0
3.39745241,-1.079835712,1.370086132,2.800663043,3.072674576,-2,1.822982875,31.47862337,2.88763441,0,1,0,0,0,0,0
2.677370921,-0.85382222,1.489723575,3.014670103,1.631546475,-2,1.663340431,50.62821016,1.652866271,0,0,0,0,0,0,0
2.64745386,-2.127057643,1.939754368,-1.212099225,2.166479497,-2,2.304885916,23.71051184,3.503553552,0,0,0,0,0,0,0
3.143496143,-0.380839475,2.348366807,4.558395799,3.434001003,0,2.624962621,15.05471066,4.254998246,0,0,0,0,2,0,0
3.678853721,-0.169328915,3.238545694,0.60535102,2.929438666,-1,1.650665243,35.02743885,2.514906115,0,0,0,0,0,0,0
3.029766105,0.066556925,2.102898485,2.790230959,3.287817516,1,2.071830405,22.00500928,3.40055182,0,1,1,0,0,0,0
3.016901685,0.313999793,1.487822545,2.278670509,2.284582291,-1,2.815994101,6.003273855,5.134567512,0,0,0,0,0,0,0
2.883649786,-0.574318795,2.336318719,5.254370422,2.754140815,-2,0,95.32007132,0,1,0,0,0,0,0,0
2.501736054,-0.877725306,2.320906849,3.526270898,2.418846637,-2,1.540049492,43.63709765,2.072804489,0,1,0,0,0,0,0
3.059287594,0.612152244,2.093665398,5.768862262,2.807500942,0,2.735965893,8.143537418,4.612783839,0,0,0,0,0,0,0
3.110215617,-0.279968742,1.676049382,1.079958792,2.528225663,-1,0,93.41787848,0,0,0,1,0,0,0,0
3.23878067,-0.868907005,0.592051503,0.989290486,2.884294321,0,1.808867245,35.80230404,2.427972804,0,0,0,0,0,0,0
2.36702559,1.165883961,1.196321887,4.907170978,2.876809629,2,2.339424984,26.04492121,3.714555495,1,2,1,1,2,0,0
2.042004557,-0.319471964,2.914722612,1.471566453,2.009093823,-2,2.623938083,23.22134391,4.209616087,0,0,0,0,0,0,0
2.758765528,-0.031160608,2.627207935,2.541850646,3.085797762,1,1.687930281,37.35061575,2.15300013,0,1,0,0,0,0,0
3.205734374,-0.658960867,1.135583458,1.921500486,2.54154987,-2,2.605789897,6.727791509,4.42958122,0,0,0,0,0,0,0
